feature,signal
num__tracked_lag_48,7628.2861328125
num__out_curr,5294.048828125
num__tracked_roll_mean_6,3520.005859375
num__out_nonzero_rate_6,3294.190185546875
cat__location_26061,1941.997314453125
cat__location_26103,1563.648681640625
num__gh_4_roll_mean_6,1142.797119140625
num__sdlwrf_lag_24,1038.3990478515625
cat__location_26029,959.7298583984375
cat__location_26121,953.895751953125
num__out_lag_24,952.0390625
cat__location_26151,919.3700561523438
num__out_lag_48,919.0897827148438
cat__location_26041,865.6791381835938
cat__location_26053,860.1387939453125
cat__location_26021,814.88671875
cat__location_26059,719.8206176757812
num__d2m_lag_24,678.2852172851562
cat__location_26075,657.4266357421875
cat__location_26087,648.5262451171875
