feature,signal
num__out_nonzero_rate_6,10023.6455078125
num__out_curr,7140.166015625
num__tracked_lag_48,1560.62158203125
num__out_lag_48,973.74072265625
num__out_lag_24,931.9478759765625
num__tracked_curr,878.7282104492188
cat__location_26061,504.15460205078125
cat__location_26151,488.8565368652344
cat__location_26121,480.7265625
cat__location_26021,465.87109375
num__tracked_roll_mean_6,431.6732177734375
cat__location_26103,382.6387634277344
num__tracked_lag_24,359.9228515625
num__gh_4_lag_24,340.2633361816406
num__out_roll_max_6,320.96246337890625
cat__location_26075,318.5207824707031
num__gh_4_roll_mean_6,276.6100769042969
cat__location_26053,274.1964416503906
cat__location_26087,272.9730224609375
cat__location_26041,264.71661376953125
