feature,signal
num__tracked_curr,3596.000244140625
cat__location_26039,3068.755859375
num__tracked_lag_48,1934.0538330078125
num__tracked_lag_24,1377.3209228515625
num__out_roll_max_6,811.6103515625
cat__location_26103,772.8682250976562
cat__location_26085,625.6478881835938
num__out_roll_sum_6,612.6595458984375
num__out_curr,597.3310546875
cat__location_26161,558.1515502929688
cat__location_26129,449.7583312988281
cat__location_26081,418.0140075683594
cat__location_26121,360.9085388183594
cat__location_26145,357.49078369140625
cat__location_26111,354.9232177734375
num__tracked_roll_mean_6,344.63763427734375
num__tracked_roll_max_6,334.61041259765625
cat__location_26037,330.4918518066406
cat__location_26059,315.78924560546875
num__target_dow_sin,306.2142333984375
