pair_tag,horizon,classifier_name,classifier_params,regressor_name,regressor_params,mean_horizon,mean_fold_id,mean_avg_county_rmse_expected,mean_avg_county_rmse_hard_gate,mean_overall_rmse_expected,mean_overall_mae_expected,mean_zero_baseline_rmse,mean_zero_baseline_avg_county_rmse,mean_stage1_roc_auc,mean_stage1_average_precision,mean_stage1_brier_score,mean_stage1_log_loss,mean_stage1_precision,mean_stage1_recall,mean_stage1_f1,mean_stage1_tn,mean_stage1_fp,mean_stage1_fn,mean_stage1_tp,mean_stage2_positive_rows_train,mean_stage2_positive_rows_valid,mean_stage2_positive_rmse,mean_stage2_positive_mae,mean_stage2_fallback_only
h24__clf_xgbc01__reg_xgbr01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.0,82.89578159581465,82.1821424186021,255.25741717209638,58.4736557023293,273.35358370964815,86.70970007699015,0.8965059905387351,0.8659395260365788,0.1236823759911361,0.3911258834442014,0.8829568788501027,0.5922865013774105,0.7089859851607585,1209.0,57.0,296.0,430.0,140860.0,726.0,425.40495055411986,162.30802463385027,0.0
h24__clf_logen01__reg_xgbr01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.0,83.65796755963709,82.15918926756112,254.98401770928288,59.35342111431047,273.35358370964815,86.70970007699015,0.8975733204513902,0.8543155343527536,0.12359331361685393,0.38423309190064814,0.7747489239598279,0.743801652892562,0.7589599437807449,1109.0,157.0,186.0,540.0,140860.0,726.0,425.40495055411986,162.30802463385027,0.0
h24__clf_xgbc01__reg_enet01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.0,84.38967040287956,84.05337238019136,262.18407681560564,60.076052797987984,273.35358370964815,86.70970007699015,0.8965059905387351,0.8659395260365788,0.1236823759911361,0.3911258834442014,0.8829568788501027,0.5922865013774105,0.7089859851607585,1209.0,57.0,296.0,430.0,140860.0,726.0,435.9579505704529,167.88782906817934,0.0
h24__clf_logen01__reg_enet01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.0,84.90819808921022,83.96801233192225,261.9929719626056,60.6664535583691,273.35358370964815,86.70970007699015,0.8975733204513902,0.8543155343527536,0.12359331361685393,0.38423309190064814,0.7747489239598279,0.743801652892562,0.7589599437807449,1109.0,157.0,186.0,540.0,140860.0,726.0,435.9579505704529,167.88782906817934,0.0
h48__clf_xgbc01__reg_xgbr01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.0,64.69696934621763,63.90174539576783,186.36074268806135,34.738801624663324,196.73068992261915,66.71676804777749,0.8743629743721508,0.8265821193051082,0.1300242283438306,0.4110624479526746,0.891218872870249,0.5078416728902165,0.6470028544243578,2562.0,83.0,659.0,680.0,252291.0,1339.0,321.77445756185676,101.97453344233273,0.0
h48__clf_logen01__reg_xgbr01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.0,65.27163046394082,63.82013346115808,185.86312643412697,35.51838337584852,196.73068992261915,66.71676804777749,0.8754266014052752,0.8236922536757945,0.13723557158235947,0.42133953890428727,0.6949152542372882,0.765496639283047,0.728500355366027,2195.0,450.0,314.0,1025.0,252291.0,1339.0,321.77445756185676,101.97453344233273,0.0
h48__clf_xgbc01__reg_enet01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.0,65.57972678639074,64.79536426550493,189.21009030471495,35.66737656093858,196.73068992261915,66.71676804777749,0.8743629743721508,0.8265821193051082,0.1300242283438306,0.4110624479526746,0.891218872870249,0.5078416728902165,0.6470028544243578,2562.0,83.0,659.0,680.0,252291.0,1339.0,328.17926551399535,106.16435921256854,0.0
h48__clf_logen01__reg_enet01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.0,66.43440479030211,64.72194566175293,189.1047381539398,36.59303975319722,196.73068992261915,66.71676804777749,0.8754266014052752,0.8236922536757945,0.13723557158235947,0.42133953890428727,0.6949152542372882,0.765496639283047,0.728500355366027,2195.0,450.0,314.0,1025.0,252291.0,1339.0,328.17926551399535,106.16435921256854,0.0
