horizon,pair_tag,classifier_name,classifier_params,regressor_name,regressor_params,mean_horizon,mean_fold_id,mean_avg_county_rmse_expected,mean_avg_county_rmse_hard_gate,mean_overall_rmse_expected,mean_overall_mae_expected,mean_zero_baseline_rmse,mean_zero_baseline_avg_county_rmse,mean_stage1_roc_auc,mean_stage1_average_precision,mean_stage1_brier_score,mean_stage1_log_loss,mean_stage1_precision,mean_stage1_recall,mean_stage1_f1,mean_stage1_tn,mean_stage1_fp,mean_stage1_fn,mean_stage1_tp,mean_stage2_positive_rows_train,mean_stage2_positive_rows_valid,mean_stage2_positive_rmse,mean_stage2_positive_mae,mean_stage2_fallback_only
24,h24__clf_logen01__reg_xgbr01,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.5,60.399668682543506,60.40608535098123,148.5473919892665,25.188357479432028,163.54790985016794,63.61170548614051,0.8679316171601086,0.7869008839558216,0.14369300108664357,0.4381129944933355,0.6362149321452937,0.7368906423510216,0.6809250422142281,1131.0,254.0,163.0,444.0,134083.0,607.0,266.3118193160176,77.08330883994545,0.0
48,h48__clf_xgbc01__reg_xgbr01,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.5,60.07897683362795,59.960527360299764,143.83006593767595,25.234434020733573,160.7301427102213,64.26279237009084,0.8820940038585696,0.8165823605348269,0.12498260591675918,0.40096218628304947,0.7663170163170163,0.6582833333333333,0.7023850702508606,2494.5,264.5,417.0,808.0,266357.5,1225.0,257.4583341049305,78.32017856374581,0.0
