feature,signal,fold_id,model_role,model_name
num__tracked_roll_max_6,15999.458984375,1,stage2,xgb_regressor
num__tracked_lag_24,10266.6005859375,1,stage2,xgb_regressor
num__tracked_curr,9123.7822265625,1,stage2,xgb_regressor
num__tracked_roll_mean_6,7762.818359375,1,stage2,xgb_regressor
num__out_curr,4949.20458984375,1,stage2,xgb_regressor
num__tracked_lag_48,3073.656982421875,1,stage2,xgb_regressor
num__out_roll_mean_6,2234.3720703125,1,stage2,xgb_regressor
num__vgtyp_lag_48,2034.8125,1,stage2,xgb_regressor
num__out_lag_24,1634.9921875,1,stage2,xgb_regressor
num__out_roll_sum_6,1508.543212890625,1,stage2,xgb_regressor
num__out_nonzero_rate_6,1485.2027587890625,1,stage2,xgb_regressor
cat__location_26039,1319.218505859375,1,stage2,xgb_regressor
cat__location_26161,1261.517578125,1,stage2,xgb_regressor
num__lai_lag_48,1114.85791015625,1,stage2,xgb_regressor
num__sdlwrf_curr,1055.7847900390625,1,stage2,xgb_regressor
num__tracked_roll_sum_6,1054.6473388671875,1,stage2,xgb_regressor
num__out_roll_max_6,974.1910400390625,1,stage2,xgb_regressor
num__out_lag_48,952.454833984375,1,stage2,xgb_regressor
cat__location_26125,918.20263671875,1,stage2,xgb_regressor
cat__location_26085,805.5828247070312,1,stage2,xgb_regressor
num__tracked_roll_max_6,39458.75390625,2,stage2,xgb_regressor
num__tracked_curr,12437.0419921875,2,stage2,xgb_regressor
num__pwat_lag_48,4532.73046875,2,stage2,xgb_regressor
num__layth_curr,4478.74755859375,2,stage2,xgb_regressor
num__sh2_lag_24,3767.646728515625,2,stage2,xgb_regressor
num__tracked_roll_sum_6,3626.0966796875,2,stage2,xgb_regressor
num__tracked_lag_24,3402.140380859375,2,stage2,xgb_regressor
num__tracked_lag_48,3276.665771484375,2,stage2,xgb_regressor
cat__location_26161,3243.84375,2,stage2,xgb_regressor
num__pwat_lag_24,3075.105712890625,2,stage2,xgb_regressor
cat__location_26147,3012.322998046875,2,stage2,xgb_regressor
num__out_curr,2706.65966796875,2,stage2,xgb_regressor
num__out_lag_48,2619.257080078125,2,stage2,xgb_regressor
num__d2m_roll_mean_6,2017.6357421875,2,stage2,xgb_regressor
num__d2m_curr,1971.4498291015625,2,stage2,xgb_regressor
num__sh2_roll_mean_6,1970.829833984375,2,stage2,xgb_regressor
num__vucsh_lag_48,1852.72412109375,2,stage2,xgb_regressor
num__out_roll_mean_6,1731.32666015625,2,stage2,xgb_regressor
cat__location_26011,1728.0802001953125,2,stage2,xgb_regressor
cat__location_26039,1713.3380126953125,2,stage2,xgb_regressor
