feature,signal
cat__location_26061,6.627050557453032
cat__location_26007,4.002467349533639
cat__location_26095,3.8384972279420406
cat__location_26081,3.197422144933086
cat__location_26153,2.708215427280626
cat__location_26147,2.641849827882553
cat__location_26115,2.4701892672393533
cat__location_26119,2.2586006410527064
cat__location_26079,2.163537931314131
cat__location_26033,2.035529003538648
cat__location_26093,1.9935153218907293
cat__location_26087,1.9740044471571045
num__sp_lag_48,1.9684305593363132
cat__location_26151,1.5776134086993794
num__lai_lag_24,1.5717217923574798
cat__location_26083,1.547098651699245
cat__location_26049,1.504372652836822
cat__location_26065,1.4842557407644386
cat__location_26053,1.3635713271992573
cat__location_26041,1.27197584577762
