feature,signal
num__out_nonzero_rate_6,10144.0234375
num__out_curr,5378.59326171875
num__tracked_curr,5267.2705078125
num__tracked_lag_48,3655.771484375
num__tracked_roll_max_6,2225.178955078125
num__tracked_lag_24,1891.0391845703125
num__vgtyp_roll_mean_6,1723.057861328125
num__out_lag_24,1490.5
num__lai_roll_mean_6,1247.4156494140625
num__vgtyp_lag_24,1243.092041015625
num__gh_4_roll_std_6,1092.6944580078125
num__tracked_roll_sum_6,1050.44287109375
num__tracked_roll_mean_6,1033.352294921875
cat__location_26061,995.9581298828125
num__out_lag_48,859.5843505859375
num__lai_curr,749.3749389648438
cat__location_26087,678.1993408203125
num__gh_4_roll_mean_6,614.6887817382812
num__orog_lag_24,559.460693359375
num__gh_4_lag_48,545.626953125
