feature,signal
num__tracked_roll_max_6,16259.255859375
num__tracked_curr,7521.837890625
num__pwat_lag_48,4713.94384765625
cat__location_26161,3296.75146484375
num__tracked_roll_sum_6,2968.704345703125
num__out_curr,2533.887451171875
num__out_lag_48,2043.4732666015625
num__tracked_roll_mean_6,1869.432861328125
num__d2m_roll_mean_6,1815.119384765625
num__lftx_roll_mean_6,1697.0970458984375
cat__location_26011,1470.2830810546875
num__tracked_lag_48,1387.390625
num__pwat_curr,1254.127685546875
num__sh2_roll_mean_6,1190.722900390625
num__out_roll_sum_6,1170.111083984375
num__vgtyp_roll_mean_6,1149.4886474609375
cat__location_26147,1147.943603515625
cat__location_26039,1117.979736328125
num__sh2_curr,1089.947509765625
num__v10_roll_mean_6,1001.3679809570312
