feature,signal
num__tracked_roll_mean_6,4855.166015625
num__out_curr,3486.045654296875
cat__location_26163,2554.1953125
num__tracked_curr,2409.468017578125
num__out_roll_sum_6,1986.21630859375
num__tracked_lag_24,1962.282470703125
cat__location_26081,1157.0986328125
num__tracked_roll_sum_6,1112.471435546875
num__out_roll_mean_6,1010.2954711914062
num__tracked_roll_max_6,957.767578125
num__origin_dow,929.510986328125
num__out_roll_max_6,928.7045288085938
num__pwat_roll_mean_6,837.4697875976562
num__pwat_curr,829.6376342773438
num__pwat_lag_48,672.4911499023438
num__vgtyp_lag_24,614.0496215820312
num__tracked_lag_48,609.7513427734375
num__vbdsf_lag_48,548.9683837890625
cat__location_26039,488.83416748046875
num__gh_3_lag_48,480.42901611328125
