feature,signal,fold_id,model_role,model_name
cat__location_26095,5.0561187501103815,1,stage1,logistic_enet
cat__location_26007,4.415501217726551,1,stage1,logistic_enet
cat__location_26081,4.413032428616062,1,stage1,logistic_enet
cat__location_26093,2.9191130149538753,1,stage1,logistic_enet
cat__location_26115,2.6705221730508444,1,stage1,logistic_enet
cat__location_26063,2.4157094219459307,1,stage1,logistic_enet
cat__location_26079,2.1852116036975415,1,stage1,logistic_enet
cat__location_26061,2.0960702025998748,1,stage1,logistic_enet
cat__location_26119,2.0747527748636165,1,stage1,logistic_enet
cat__location_26157,1.9744675617661231,1,stage1,logistic_enet
cat__location_26151,1.9625913002170563,1,stage1,logistic_enet
cat__location_26147,1.9360557196675314,1,stage1,logistic_enet
cat__location_26087,1.9078260277425678,1,stage1,logistic_enet
cat__location_26103,1.6715586611404831,1,stage1,logistic_enet
cat__location_26033,1.5930222139248367,1,stage1,logistic_enet
cat__location_26047,1.5286082228911408,1,stage1,logistic_enet
cat__location_26009,1.476828107754889,1,stage1,logistic_enet
cat__location_26049,1.4637849518879738,1,stage1,logistic_enet
cat__location_26153,1.437478361254708,1,stage1,logistic_enet
cat__location_26041,1.4161810751883486,1,stage1,logistic_enet
cat__location_26095,5.048563802619257,2,stage1,logistic_enet
cat__location_26061,4.952554729537108,2,stage1,logistic_enet
cat__location_26007,4.855363850762711,2,stage1,logistic_enet
cat__location_26081,4.144658224450874,2,stage1,logistic_enet
cat__location_26115,3.127662524714954,2,stage1,logistic_enet
cat__location_26079,2.729580257414466,2,stage1,logistic_enet
cat__location_26147,2.4780846799461065,2,stage1,logistic_enet
cat__location_26093,2.2127048803736726,2,stage1,logistic_enet
cat__location_26119,2.1740022478359506,2,stage1,logistic_enet
cat__location_26103,2.0708700803882785,2,stage1,logistic_enet
cat__location_26153,1.915726855342206,2,stage1,logistic_enet
cat__location_26151,1.9079538909753035,2,stage1,logistic_enet
cat__location_26087,1.6184865330820846,2,stage1,logistic_enet
cat__location_26083,1.560109021562764,2,stage1,logistic_enet
cat__location_26065,1.529599873690068,2,stage1,logistic_enet
cat__location_26033,1.4726757636469106,2,stage1,logistic_enet
num__lai_lag_24,1.423051839466248,2,stage1,logistic_enet
cat__location_26047,1.4044603638855786,2,stage1,logistic_enet
cat__location_26063,1.401241987869235,2,stage1,logistic_enet
cat__location_26055,1.3351848408343951,2,stage1,logistic_enet
