feature,signal
num__tracked_lag_48,8771.546875
num__out_curr,5894.74462890625
num__out_nonzero_rate_6,3602.655029296875
num__tracked_roll_mean_6,3182.11572265625
cat__location_26061,2084.692626953125
cat__location_26103,1714.8365478515625
num__sdlwrf_lag_24,1347.6964111328125
num__out_lag_48,1267.50048828125
num__d2m_roll_mean_6,1093.8983154296875
num__gh_4_roll_mean_6,1068.208740234375
cat__location_26041,924.0045166015625
cat__location_26151,849.3870239257812
num__out_lag_24,834.381591796875
cat__location_26053,821.4519653320312
cat__location_26021,819.935546875
cat__location_26029,812.51171875
cat__location_26121,722.1873168945312
cat__location_26059,722.0504150390625
cat__location_26087,675.033935546875
num__gh_4_lag_24,638.4442138671875
