feature,signal
num__tracked_lag_24,7731.18505859375
cat__location_26039,4503.40283203125
num__tracked_curr,2757.965576171875
num__tracked_lag_48,2220.397705078125
cat__location_26161,1379.045654296875
cat__location_26103,1112.181884765625
num__out_roll_max_6,1071.7593994140625
cat__location_26049,919.3474731445312
cat__location_26017,905.32177734375
cat__location_26059,851.36181640625
num__tracked_roll_max_6,836.2281494140625
cat__location_26085,824.9144287109375
num__out_curr,823.0150756835938
cat__location_26057,767.6287841796875
cat__location_26121,717.936767578125
cat__location_26041,711.8447265625
num__out_roll_sum_6,696.4620971679688
cat__location_26081,693.5824584960938
cat__location_26129,620.509521484375
cat__location_26123,589.6428833007812
