horizon,fold_id,val_origin_idx,val_origin_timestamp,train_origin_start_idx,train_origin_start_timestamp,train_origin_max_idx,train_origin_max_timestamp,validation_window_start,validation_window_end
24,1,1727,2023-06-11 23:00:00,1464,2023-06-01,1703,2023-06-10 23:00:00,2023-06-12,2023-06-12 23:00:00
48,1,1727,2023-06-11 23:00:00,1464,2023-06-01,1679,2023-06-09 23:00:00,2023-06-12,2023-06-13 23:00:00
