pair_tag,horizon,fold_id,classifier_name,classifier_params,regressor_name,regressor_params,two_stage_model_path,stage1_model_path,stage2_model_path,avg_county_rmse_expected,avg_county_rmse_hard_gate,overall_rmse_expected,overall_mae_expected,zero_baseline_rmse,zero_baseline_avg_county_rmse,stage1_roc_auc,stage1_average_precision,stage1_brier_score,stage1_log_loss,stage1_precision,stage1_recall,stage1_f1,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage2_positive_rows_train,stage2_positive_rows_valid,stage2_positive_rmse,stage2_positive_mae,stage2_fallback_only
h24__clf_xgbc01__reg_xgbr01,24,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260419_203159/models/pair_h24__clf_xgbc01__reg_xgbr01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h24__clf_xgbc01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h24__clf_xgbc01__reg_xgbr01_f01_stage2_regressor.joblib,97.21583264877752,96.76588694819051,279.6098895390143,63.9409491125771,292.5592738486672,100.30532731022994,0.8998692008770597,0.8703779484051836,0.12471457222271343,0.3932279872296168,0.9071729957805907,0.589041095890411,0.7142857142857143,1218,44,300,430,140227,730,461.6680118778441,174.3334925984683,False
h24__clf_logen01__reg_xgbr01,24,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260419_203159/models/pair_h24__clf_logen01__reg_xgbr01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h24__clf_logen01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h24__clf_logen01__reg_xgbr01_f01_stage2_regressor.joblib,97.49571516354904,96.70699840655928,279.2280632829199,64.29953815939706,292.5592738486672,100.30532731022994,0.8988428890866856,0.8605060735732153,0.12089366884294857,0.37560180571151275,0.8107692307692308,0.7219178082191781,0.763768115942029,1139,123,203,527,140227,730,461.6680118778441,174.3334925984683,False
h24__clf_xgbc01__reg_enet01,24,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260419_203159/models/pair_h24__clf_xgbc01__reg_enet01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h24__clf_xgbc01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h24__clf_xgbc01__reg_enet01_f01_stage2_regressor.joblib,98.17251016551297,97.81480673200602,282.5314297931785,64.80550855448732,292.5592738486672,100.30532731022994,0.8998692008770597,0.8703779484051836,0.12471457222271343,0.3932279872296168,0.9071729957805907,0.589041095890411,0.7142857142857143,1218,44,300,430,140227,730,467.73183596332626,179.17328006645684,False
h24__clf_logen01__reg_enet01,24,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260419_203159/models/pair_h24__clf_logen01__reg_enet01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h24__clf_logen01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h24__clf_logen01__reg_enet01_f01_stage2_regressor.joblib,98.54487571241721,97.76598933056322,282.3078732082851,65.18834600617943,292.5592738486672,100.30532731022994,0.8988428890866856,0.8605060735732153,0.12089366884294857,0.37560180571151275,0.8107692307692308,0.7219178082191781,0.763768115942029,1139,123,203,527,140227,730,467.73183596332626,179.17328006645684,False
h48__clf_xgbc01__reg_xgbr01,48,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260419_203159/models/pair_h48__clf_xgbc01__reg_xgbr01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h48__clf_xgbc01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h48__clf_xgbc01__reg_xgbr01_f01_stage2_regressor.joblib,73.24864102751812,72.5922680243486,200.27594147080958,36.82730024696952,209.92488138211053,75.35610997065699,0.8733112894408382,0.8253823055614524,0.1312151950361206,0.4128898641619916,0.888745148771022,0.5115413253909159,0.6493383742911153,2555,86,656,687,251115,1343,345.0510094344716,107.98748734995046,False
h48__clf_logen01__reg_xgbr01,48,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260419_203159/models/pair_h48__clf_logen01__reg_xgbr01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h48__clf_logen01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h48__clf_logen01__reg_xgbr01_f01_stage2_regressor.joblib,73.77772718242223,72.54776443782376,199.88765566858712,37.51768138190789,209.92488138211053,75.35610997065699,0.8763442512439865,0.8265921722088755,0.1313865416574094,0.40646656479416476,0.723781388478582,0.7297096053611318,0.7267334074898035,2267,374,363,980,251115,1343,345.0510094344716,107.98748734995046,False
h48__clf_xgbc01__reg_enet01,48,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260419_203159/models/pair_h48__clf_xgbc01__reg_enet01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h48__clf_xgbc01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h48__clf_xgbc01__reg_enet01_f01_stage2_regressor.joblib,74.14794655503513,73.49392005064048,202.84513779948225,37.741813861832966,209.92488138211053,75.35610997065699,0.8733112894408382,0.8253823055614524,0.1312151950361206,0.4128898641619916,0.888745148771022,0.5115413253909159,0.6493383742911153,2555,86,656,687,251115,1343,351.1798873829633,112.48816762340361,False
h48__clf_logen01__reg_enet01,48,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260419_203159/models/pair_h48__clf_logen01__reg_enet01_f01_two_stage.joblib,results/run_20260419_203159/models/pair_h48__clf_logen01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260419_203159/models/pair_h48__clf_logen01__reg_enet01_f01_stage2_regressor.joblib,74.9798297607466,73.44273455982255,202.78617910700402,38.592409834690145,209.92488138211053,75.35610997065699,0.8763442512439865,0.8265921722088755,0.1313865416574094,0.40646656479416476,0.723781388478582,0.7297096053611318,0.7267334074898035,2267,374,363,980,251115,1343,351.1798873829633,112.48816762340361,False
