feature,signal
num__out_nonzero_rate_6,8750.009765625
num__out_curr,5470.9931640625
num__tracked_lag_48,2014.1497802734375
num__out_lag_48,1124.6417236328125
num__out_lag_24,856.8062133789062
num__tracked_curr,737.8031616210938
cat__location_26061,547.2586669921875
num__tracked_roll_mean_6,504.0807189941406
cat__location_26121,473.8046875
cat__location_26151,470.90545654296875
cat__location_26103,418.2994384765625
num__gh_4_lag_24,395.2358703613281
num__out_roll_max_6,365.8348693847656
cat__location_26021,347.2059020996094
num__gh_4_roll_mean_6,347.0576171875
cat__location_26075,335.3262634277344
num__tracked_lag_24,327.3193054199219
cat__location_26087,268.1719665527344
cat__location_26041,264.9525451660156
num__sdlwrf_lag_48,264.52923583984375
