feature,signal
num__out_nonzero_rate_6,11403.7373046875
num__tracked_roll_mean_6,4856.5
num__out_curr,3935.196044921875
num__tracked_lag_48,3915.544921875
num__tracked_curr,3440.076904296875
num__tracked_lag_24,2283.25
num__vgtyp_roll_mean_6,1677.9451904296875
num__gh_4_roll_mean_6,1546.104736328125
num__tracked_roll_sum_6,1424.8668212890625
num__out_lag_24,1421.3665771484375
num__tracked_roll_max_6,1394.0469970703125
num__out_lag_48,1267.827392578125
cat__location_26061,970.2661743164062
num__unknown_2_curr,689.8440551757812
num__lai_curr,665.51220703125
cat__location_26087,636.3129272460938
num__lai_roll_mean_6,631.4393310546875
num__gh_4_lag_48,604.6920776367188
num__vgtyp_lag_48,551.2592163085938
num__tcc_1_curr,518.7337646484375
