feature,signal
cat__location_26061,6.587991202360994
cat__location_26007,4.07697499138695
cat__location_26095,3.8950582754255145
cat__location_26081,3.353566819351648
cat__location_26153,2.607774291673761
cat__location_26115,2.6076010436769694
cat__location_26147,2.57358157889585
cat__location_26119,2.294796363026455
cat__location_26079,2.176000162157874
cat__location_26033,2.030570715222755
cat__location_26093,1.9325455662525093
num__sp_lag_48,1.8296073489030829
cat__location_26087,1.8044562408664804
cat__location_26083,1.773015789252776
num__lai_lag_24,1.5760112092999645
cat__location_26151,1.5198412164033022
cat__location_26065,1.48748953381484
cat__location_26103,1.4729563137521793
cat__location_26049,1.4250297993636853
cat__location_26055,1.2576582030211831
