feature,signal,fold_id,model_role,model_name
cat__location_26095,4.087968817079281,1,stage1,logistic_enet
cat__location_26081,4.067325937444703,1,stage1,logistic_enet
cat__location_26007,3.6928879600798967,1,stage1,logistic_enet
cat__location_26093,2.7812226927076265,1,stage1,logistic_enet
cat__location_26115,2.3835418245248055,1,stage1,logistic_enet
num__lai_lag_24,2.3105292110915094,1,stage1,logistic_enet
cat__location_26079,2.102524458862271,1,stage1,logistic_enet
cat__location_26061,2.0797364079936953,1,stage1,logistic_enet
cat__location_26119,2.065175689655798,1,stage1,logistic_enet
cat__location_26063,2.044207492387391,1,stage1,logistic_enet
cat__location_26147,1.8290963089645347,1,stage1,logistic_enet
cat__location_26087,1.7779374204847411,1,stage1,logistic_enet
cat__location_26151,1.7672315368206597,1,stage1,logistic_enet
cat__location_26157,1.602740466810509,1,stage1,logistic_enet
cat__location_26047,1.5642110476990674,1,stage1,logistic_enet
cat__location_26103,1.4812555548340407,1,stage1,logistic_enet
cat__location_26009,1.4435050602039052,1,stage1,logistic_enet
cat__location_26153,1.430545755726135,1,stage1,logistic_enet
cat__location_26041,1.410331755871272,1,stage1,logistic_enet
cat__location_26033,1.396547033359538,1,stage1,logistic_enet
cat__location_26061,6.604414473340116,2,stage1,logistic_enet
cat__location_26007,4.142277051990107,2,stage1,logistic_enet
cat__location_26095,3.9894654074835296,2,stage1,logistic_enet
cat__location_26081,3.40042051399424,2,stage1,logistic_enet
cat__location_26115,2.6770249997359676,2,stage1,logistic_enet
cat__location_26153,2.62825318032272,2,stage1,logistic_enet
cat__location_26147,2.3850881303934997,2,stage1,logistic_enet
cat__location_26079,2.273246258854783,2,stage1,logistic_enet
cat__location_26119,2.2199961854825205,2,stage1,logistic_enet
cat__location_26093,2.011745799028538,2,stage1,logistic_enet
cat__location_26083,1.7903330000118507,2,stage1,logistic_enet
cat__location_26087,1.7853771756078591,2,stage1,logistic_enet
num__sp_lag_48,1.7851921669328619,2,stage1,logistic_enet
cat__location_26033,1.7593436890712584,2,stage1,logistic_enet
cat__location_26103,1.6066076814250259,2,stage1,logistic_enet
cat__location_26151,1.5291326288899467,2,stage1,logistic_enet
num__lai_lag_24,1.5267304570681133,2,stage1,logistic_enet
cat__location_26065,1.465500616835339,2,stage1,logistic_enet
cat__location_26049,1.4049173772198644,2,stage1,logistic_enet
cat__location_26055,1.383049310743584,2,stage1,logistic_enet
