pair_tag,horizon,classifier_name,classifier_params,regressor_name,regressor_params,mean_horizon,mean_fold_id,mean_avg_county_rmse_expected,mean_avg_county_rmse_hard_gate,mean_overall_rmse_expected,mean_overall_mae_expected,mean_zero_baseline_rmse,mean_zero_baseline_avg_county_rmse,mean_stage1_roc_auc,mean_stage1_average_precision,mean_stage1_brier_score,mean_stage1_log_loss,mean_stage1_precision,mean_stage1_recall,mean_stage1_f1,mean_stage1_tn,mean_stage1_fp,mean_stage1_fn,mean_stage1_tp,mean_stage2_positive_rows_train,mean_stage2_positive_rows_valid,mean_stage2_positive_rmse,mean_stage2_positive_mae,mean_stage2_fallback_only
h24__clf_logen01__reg_xgbr01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.5,60.399668682543506,60.40608535098123,148.5473919892665,25.188357479432028,163.54790985016794,63.61170548614051,0.8679316171601086,0.7869008839558216,0.14369300108664357,0.4381129944933355,0.6362149321452937,0.7368906423510216,0.6809250422142281,1131.0,254.0,163.0,444.0,134083.0,607.0,266.3118193160176,77.08330883994545,0.0
h24__clf_xgbc01__reg_xgbr01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.5,60.94198906754446,60.05295279456088,153.57593741659383,25.355827931655067,163.54790985016794,63.61170548614051,0.8815215472682401,0.8063247521083439,0.13821820043847688,0.4303809150634086,0.8421717171717171,0.507841468106179,0.5966368431235114,1312.5,72.5,307.5,299.5,134083.0,607.0,266.3118193160176,77.08330883994545,0.0
h24__clf_logen01__reg_enet01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.5,61.104797484726404,60.800152132043124,148.66404062274856,27.266009591453596,163.54790985016794,63.61170548614051,0.8679316171601086,0.7869008839558216,0.14369300108664357,0.4381129944933355,0.6362149321452937,0.7368906423510216,0.6809250422142281,1131.0,254.0,163.0,444.0,134083.0,607.0,266.9217141279691,82.62479100473116,0.0
h24__clf_xgbc01__reg_enet01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.5,61.71502799386306,60.3310718666145,153.9150359755381,27.350043091254804,163.54790985016794,63.61170548614051,0.8815215472682401,0.8063247521083439,0.13821820043847688,0.4303809150634086,0.8421717171717171,0.507841468106179,0.5966368431235114,1312.5,72.5,307.5,299.5,134083.0,607.0,266.9217141279691,82.62479100473116,0.0
h48__clf_xgbc01__reg_xgbr01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.5,60.07897683362795,59.960527360299764,143.83006593767595,25.234434020733573,160.7301427102213,64.26279237009084,0.8820940038585696,0.8165823605348269,0.12498260591675918,0.40096218628304947,0.7663170163170163,0.6582833333333333,0.7023850702508606,2494.5,264.5,417.0,808.0,266357.5,1225.0,257.4583341049305,78.32017856374581,0.0
h48__clf_logen01__reg_xgbr01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.5,60.1503568993938,60.07158371499868,143.27165469734254,25.701312698895478,160.7301427102213,64.26279237009084,0.8700066606616834,0.7898845055113859,0.1427679350446438,0.44008580041906875,0.6560551532115935,0.7357333333333334,0.6929795878303947,2281.0,478.0,323.5,901.5,266357.5,1225.0,257.4583341049305,78.32017856374581,0.0
h48__clf_xgbc01__reg_enet01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.5,71.84742725558822,72.53677462204199,225.48513167759788,38.24346081494167,160.7301427102213,64.26279237009084,0.8820940038585696,0.8165823605348269,0.12498260591675918,0.40096218628304947,0.7663170163170163,0.6582833333333333,0.7023850702508606,2494.5,264.5,417.0,808.0,266357.5,1225.0,413.4256271536757,121.71922459659397,0.0
h48__clf_logen01__reg_enet01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.5,72.88737958550253,72.61168915917844,230.59255758014368,39.68747453491874,160.7301427102213,64.26279237009084,0.8700066606616834,0.7898845055113859,0.1427679350446438,0.44008580041906875,0.6560551532115935,0.7357333333333334,0.6929795878303947,2281.0,478.0,323.5,901.5,266357.5,1225.0,413.4256271536757,121.71922459659397,0.0
