feature,signal
num__out_nonzero_rate_6,102246.4296875
num__out_curr,47524.47265625
num__out_lag_24,15387.6943359375
num__out_roll_mean_6,14730.095703125
num__tracked_lag_48,11364.5166015625
num__out_lag_48,9373.1591796875
num__tracked_roll_mean_6,8051.44091796875
num__tracked_lag_24,7398.56201171875
num__tracked_roll_max_6,4202.814453125
num__gh_4_roll_mean_6,4017.846435546875
cat__location_26157,3411.018310546875
cat__location_26063,3263.673095703125
cat__location_26087,3252.800048828125
num__tracked_roll_sum_6,2914.69287109375
num__tracked_curr,2858.11572265625
cat__location_26161,2831.8037109375
cat__location_26151,2746.489990234375
num__gh_4_lag_24,2742.602294921875
cat__location_26075,2502.532470703125
num__d2m_curr,2470.2353515625
