feature,signal
num__tracked_curr,52070.15625
num__tracked_roll_mean_6,30993.986328125
num__tracked_lag_48,21431.16796875
num__out_roll_sum_6,13600.9384765625
num__tracked_lag_24,13535.0556640625
num__out_roll_mean_6,10064.9853515625
num__out_curr,9349.37890625
cat__location_26097,7047.4365234375
num__out_nonzero_rate_6,5727.724609375
cat__location_26063,4367.07470703125
num__pwat_lag_24,4141.84716796875
num__d2m_roll_mean_6,3958.7685546875
num__mcc_curr,3917.369873046875
num__mcc_roll_mean_6,3783.0205078125
num__out_lag_48,3776.7958984375
num__pwat_curr,3713.97705078125
num__mcc_lag_24,3629.02001953125
num__out_lag_24,3605.70068359375
cat__location_26139,3603.40869140625
num__sh2_roll_mean_6,3369.26318359375
