feature,signal
num__out_nonzero_rate_6,44631.8984375
num__out_curr,23174.576171875
num__out_roll_mean_6,7161.6162109375
num__tracked_lag_24,7051.5634765625
num__out_lag_24,5401.748046875
num__tracked_lag_48,4569.2734375
num__out_lag_48,4323.2529296875
num__tracked_roll_mean_6,2912.974609375
num__tracked_roll_max_6,2099.53515625
cat__location_26087,1514.751953125
cat__location_26121,1469.29296875
cat__location_26077,1412.13427734375
cat__location_26063,1401.967041015625
num__horizon_step,1388.9417724609375
cat__location_26157,1359.46435546875
num__gh_4_lag_24,1284.87158203125
cat__location_26151,1271.7940673828125
cat__location_26021,1197.020751953125
cat__location_26161,1165.6776123046875
num__tracked_curr,1160.1787109375
