feature,signal
num__out_curr,2494.83984375
num__out_lag_1,1320.4622802734375
num__out_lag_24,834.311279296875
num__target_hour_sin,261.1706237792969
num__lai,236.5262908935547
num__veg,180.2461700439453
num__horizon_step,158.36521911621094
num__target_hour,125.64441680908203
num__origin_hour_sin,123.16996002197266
num__target_dow,117.74364471435547
num__target_dow_sin,106.69348907470703
num__mdens,105.92745208740234
num__origin_dow_sin,103.51912689208984
num__vstm,97.48262023925781
num__origin_dow_cos,94.9760513305664
num__unknown_2,91.43415832519531
num__target_dow_cos,80.47193145751953
num__vucsh,74.87741088867188
num__v,74.37989807128906
num__ustm,70.90907287597656
