feature,signal
num__out_curr,3820.932861328125
num__out_lag_1,2071.859130859375
num__out_lag_24,1373.0537109375
num__target_hour_sin,439.9617919921875
num__lai,430.8149108886719
num__veg,348.3478088378906
num__target_hour,234.5949249267578
num__forecast_day_offset,216.7488250732422
num__origin_hour_sin,212.7534637451172
num__vstm,195.208984375
num__target_dow_sin,191.82974243164062
num__target_dow,186.46632385253906
num__mdens,172.17523193359375
num__target_dow_cos,168.54705810546875
num__unknown_2,165.01779174804688
num__horizon_step,164.7263641357422
num__origin_dow_sin,142.84779357910156
num__v,140.100830078125
num__origin_dow_cos,134.99217224121094
num__ustm,123.66990661621094
