feature,signal
num__out_curr,1983.632568359375
num__out_lag_1,1264.0882568359375
num__out_lag_24,824.6040649414062
num__veg,257.12347412109375
num__origin_dow_sin,249.0558624267578
num__lai,234.308837890625
num__target_dow_sin,192.7113037109375
num__target_hour_sin,178.24551391601562
num__target_dow,175.94708251953125
num__target_dow_cos,169.11209106445312
num__unknown_2,161.49575805664062
num__origin_dow_cos,141.50071716308594
num__vstm,141.21058654785156
num__v,128.17068481445312
num__target_hour_cos,125.74099731445312
num__horizon_step,122.7054443359375
num__mdens,120.21553802490234
num__ustm,114.70072937011719
num__target_hour,103.76297760009766
num__origin_hour_sin,96.04161071777344
