feature,signal
cat__location_26085,1.7046441970281585
cat__location_26011,1.661132321410136
cat__location_26039,1.6439474258470819
cat__location_26033,1.3323314132841455
cat__location_26097,1.084464686830559
cat__location_26063,0.8278401279414297
cat__location_26023,0.7550627242749597
cat__location_26037,0.656359505543358
cat__location_26123,0.6336440612986506
cat__location_26163,0.6302272486792748
cat__location_26107,0.6280705885728474
cat__location_26103,0.6229814542278683
cat__location_26041,0.61801023502744
cat__location_26109,0.6040866324505058
cat__location_26157,0.5934250552579207
cat__location_26005,0.5612678010234108
cat__location_26079,0.5406450956536626
cat__location_26057,0.5258892419270168
cat__location_26099,0.5233059154176738
cat__location_26003,0.5034868040575776
