feature,signal
num__tracked_curr,5745.51318359375
num__tracked_roll_max_6,2921.855224609375
num__tracked_lag_48,2458.3984375
num__pwat_lag_48,2130.60400390625
cat__location_26099,1946.912841796875
num__sh2_roll_mean_6,1908.718017578125
cat__location_26161,1811.160400390625
cat__location_26011,1285.778076171875
num__out_curr,1284.0987548828125
num__tracked_roll_mean_6,1071.4334716796875
cat__location_26147,937.9265747070312
cat__location_26039,929.908935546875
num__tracked_roll_sum_6,893.0302124023438
num__d2m_curr,808.9554443359375
cat__location_26085,804.9773559570312
num__out_roll_max_6,802.5438842773438
num__pwat_curr,776.5159301757812
num__target_dow,655.794921875
cat__location_26103,654.3663330078125
num__pwat_lag_24,645.2507934570312
