pair_tag,horizon,classifier_name,classifier_params,regressor_name,regressor_params,mean_horizon,mean_fold_id,mean_avg_county_rmse_expected,mean_avg_county_rmse_hard_gate,mean_overall_rmse_expected,mean_overall_mae_expected,mean_zero_baseline_rmse,mean_zero_baseline_avg_county_rmse,mean_stage1_roc_auc,mean_stage1_average_precision,mean_stage1_brier_score,mean_stage1_log_loss,mean_stage1_precision,mean_stage1_recall,mean_stage1_f1,mean_stage1_tn,mean_stage1_fp,mean_stage1_fn,mean_stage1_tp,mean_stage2_positive_rows_train,mean_stage2_positive_rows_valid,mean_stage2_positive_rmse,mean_stage2_positive_mae,mean_stage2_fallback_only
h24__clf_xgbc01__reg_enet01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.0,70.48510754122485,70.50570869899653,179.71371852608218,32.02506452001128,208.41796273055502,75.63988735537112,0.8655988435161416,0.7968550830338743,0.1342306546416683,0.4120675390577548,0.7386138613861386,0.5729646697388633,0.6453287197231834,1209.0,132.0,278.0,373.0,139847.0,651.0,313.24823219320956,94.4585365850492,0.0
h24__clf_logen01__reg_enet01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.0,70.72092320958497,70.70968983287347,179.4975833194508,32.57801020641599,208.41796273055502,75.63988735537112,0.8547373340618631,0.7931431626049962,0.14602393635552097,0.4359975176922462,0.6415362731152204,0.6927803379416283,0.6661742983751846,1089.0,252.0,200.0,451.0,139847.0,651.0,313.24823219320956,94.4585365850492,0.0
h24__clf_xgbc01__reg_xgbr01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.0,71.42781048089842,71.62219971418973,188.5552397895764,32.43222883993004,208.41796273055502,75.63988735537112,0.8655988435161416,0.7968550830338743,0.1342306546416683,0.4120675390577548,0.7386138613861386,0.5729646697388633,0.6453287197231834,1209.0,132.0,278.0,373.0,139847.0,651.0,328.2943525254944,95.93685044139944,0.0
h24__clf_logen01__reg_xgbr01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.0,71.595074685088,71.75601125450409,188.48963194463698,32.76551730301703,208.41796273055502,75.63988735537112,0.8547373340618631,0.7931431626049962,0.14602393635552097,0.4359975176922462,0.6415362731152204,0.6927803379416283,0.6661742983751846,1089.0,252.0,200.0,451.0,139847.0,651.0,328.2943525254944,95.93685044139944,0.0
h48__clf_logen01__reg_xgbr01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.0,65.06974308231689,65.27863231657162,169.38874414514493,30.680879017431586,195.502004812079,70.48821561534488,0.8563762984637893,0.7875273502033524,0.1455421268757258,0.4406746200049545,0.6318021201413427,0.7152,0.6709193245778612,2213.0,521.0,356.0,894.0,275398.0,1250.0,301.82298914363645,92.07122935409546,0.0
h48__clf_xgbc01__reg_xgbr01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.0,65.0910491097417,65.2109579381258,170.28045672517072,30.414169363310958,195.502004812079,70.48821561534488,0.861439356254572,0.8021315848300952,0.1337686686582881,0.42104471578948227,0.713469387755102,0.6992,0.7062626262626263,2383.0,351.0,376.0,874.0,275398.0,1250.0,301.82298914363645,92.07122935409546,0.0
h48__clf_xgbc01__reg_enet01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.0,100.37436893639335,103.41368707690012,427.67141245957094,67.89770175507175,195.502004812079,70.48821561534488,0.861439356254572,0.8021315848300952,0.1337686686582881,0.42104471578948227,0.713469387755102,0.6992,0.7062626262626263,2383.0,351.0,376.0,874.0,275398.0,1250.0,803.5086809534672,220.0576984938099,0.0
h48__clf_logen01__reg_enet01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.0,103.43089444407799,103.41446976209957,450.20572426702034,71.13549463432788,195.502004812079,70.48821561534488,0.8563762984637893,0.7875273502033524,0.1455421268757258,0.4406746200049545,0.6318021201413427,0.7152,0.6709193245778612,2213.0,521.0,356.0,894.0,275398.0,1250.0,803.5086809534672,220.0576984938099,0.0
