pair_tag,horizon,classifier_name,classifier_params,regressor_name,regressor_params,mean_horizon,mean_fold_id,mean_avg_county_rmse_expected,mean_avg_county_rmse_hard_gate,mean_overall_rmse_expected,mean_overall_mae_expected,mean_zero_baseline_rmse,mean_zero_baseline_avg_county_rmse,mean_stage1_roc_auc,mean_stage1_average_precision,mean_stage1_brier_score,mean_stage1_log_loss,mean_stage1_precision,mean_stage1_recall,mean_stage1_f1,mean_stage1_tn,mean_stage1_fp,mean_stage1_fn,mean_stage1_tp,mean_stage2_positive_rows_train,mean_stage2_positive_rows_valid,mean_stage2_positive_rmse,mean_stage2_positive_mae,mean_stage2_fallback_only
h24__clf_logen01__reg_xgbr01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.0,82.0885929458111,80.64416498397189,258.3322842300943,59.80156598051314,273.35358370964815,86.70970007699015,0.6918974318801978,0.5777279342336958,0.23362283405262707,0.6673898887698486,0.4768392370572207,0.7231404958677686,0.5747126436781609,690.0,576.0,201.0,525.0,140860.0,726.0,418.28195957630965,153.84376100157246,0.0
h24__clf_xgbc01__reg_xgbr01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",24.0,1.0,83.32210253304697,82.68998314894182,262.02655624028216,60.08259897604285,273.35358370964815,86.70970007699015,0.8888355767933536,0.8594494401587337,0.17357106424432595,0.5261211104777463,1.0,0.2644628099173554,0.41830065359477125,1266.0,0.0,534.0,192.0,140860.0,726.0,418.28195957630965,153.84376100157246,0.0
h24__clf_xgbc01__reg_enet01,24,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.0,86.26410016238202,85.84018140609878,271.3599205187642,62.89475874854281,273.35358370964815,86.70970007699015,0.8888355767933536,0.8594494401587337,0.17357106424432595,0.5261211104777463,1.0,0.2644628099173554,0.41830065359477125,1266.0,0.0,534.0,192.0,140860.0,726.0,446.6630492994684,167.67895736676707,0.0
h24__clf_logen01__reg_enet01,24,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",24.0,1.0,87.17284066838,87.09446181557472,270.68395106411,64.52496999738374,273.35358370964815,86.70970007699015,0.6918974318801978,0.5777279342336958,0.23362283405262707,0.6673898887698486,0.4768392370572207,0.7231404958677686,0.5747126436781609,690.0,576.0,201.0,525.0,140860.0,726.0,446.6630492994684,167.67895736676707,0.0
h48__clf_xgbc01__reg_xgbr01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.0,64.34310295944424,63.26286212107761,187.72445792301662,34.94963879577337,196.73068992261915,66.71676804777749,0.8739690907217106,0.8237442588641795,0.13744824830559027,0.44027087286612515,0.8627002288329519,0.5631067961165048,0.6814279258924537,2525.0,120.0,585.0,754.0,252291.0,1339.0,318.72014734588583,99.24817928099829,0.0
h48__clf_logen01__reg_xgbr01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",48.0,1.0,64.8244207630143,64.03426616458879,188.57694714014858,36.06610622493256,196.73068992261915,66.71676804777749,0.6870279572685651,0.5544254178735514,0.23066846396376608,0.6537255438359598,0.4429657794676806,0.6960418222554144,0.541388324135928,1473.0,1172.0,407.0,932.0,252291.0,1339.0,318.72014734588583,99.24817928099829,0.0
h48__clf_xgbc01__reg_enet01,48,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.0,66.07045007669194,65.42799142323689,194.95793485347437,37.46847529095631,196.73068992261915,66.71676804777749,0.8739690907217106,0.8237442588641795,0.13744824830559027,0.44027087286612515,0.8627002288329519,0.5631067961165048,0.6814279258924537,2525.0,120.0,585.0,754.0,252291.0,1339.0,334.96875900091356,108.19048465323623,0.0
h48__clf_logen01__reg_enet01,48,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",48.0,1.0,66.83532469285811,66.78402867911863,194.91833701231099,39.09400313181096,196.73068992261915,66.71676804777749,0.6870279572685651,0.5544254178735514,0.23066846396376608,0.6537255438359598,0.4429657794676806,0.6960418222554144,0.541388324135928,1473.0,1172.0,407.0,932.0,252291.0,1339.0,334.96875900091356,108.19048465323623,0.0
