feature,signal
num__out_curr,4128.203125
num__out_lag_1,2344.751708984375
num__out_lag_24,1385.1884765625
num__target_hour_sin,472.27392578125
num__lai,413.9912414550781
num__veg,333.6186218261719
num__origin_hour_sin,223.1894989013672
num__target_hour,215.35247802734375
num__target_dow,203.7252197265625
num__target_dow_cos,198.8278350830078
num__target_dow_sin,192.30673217773438
num__vstm,185.22763061523438
num__horizon_step,183.57818603515625
num__mdens,179.3466033935547
num__forecast_day_offset,166.4126739501953
num__unknown_2,162.8457489013672
num__origin_dow_cos,137.5831298828125
num__v,132.3551025390625
num__origin_dow_sin,124.01215362548828
num__ustm,123.78875732421875
