feature,signal
num__out_curr,3085.440185546875
num__out_lag_1,2069.04443359375
num__out_lag_24,1810.980712890625
num__veg,491.208984375
num__lai,454.7673645019531
num__target_dow,329.0710754394531
num__target_dow_cos,274.7064208984375
num__target_hour_sin,272.2538757324219
num__target_dow_sin,271.2513122558594
num__target_hour_cos,247.68858337402344
num__origin_dow_cos,242.84234619140625
num__unknown_2,234.66903686523438
num__target_hour,218.02586364746094
num__v,212.357421875
num__vstm,193.44468688964844
num__origin_hour_sin,188.63758850097656
num__ustm,187.9315948486328
num__origin_dow_sin,179.16940307617188
num__mdens,174.0447235107422
num__horizon_step,166.6046905517578
