feature,signal
num__out_curr,1908.2921142578125
num__out_lag_1,1334.289306640625
num__out_lag_24,817.5451049804688
num__veg,245.48269653320312
num__origin_dow_sin,237.80734252929688
num__lai,227.29116821289062
num__target_dow,199.11778259277344
num__origin_dow_cos,188.86473083496094
num__target_hour_sin,179.4844970703125
num__unknown_2,163.74459838867188
num__target_dow_sin,162.9596710205078
num__target_dow_cos,157.19264221191406
num__vstm,148.7415008544922
num__horizon_step,136.7983856201172
num__ustm,133.14659118652344
num__target_hour_cos,128.07278442382812
num__mdens,124.79350280761719
num__v,118.89360046386719
num__origin_hour_sin,110.28434753417969
num__target_hour,107.8701400756836
